sample,variable,value
2DSS__1,reads.in,12996
2DSS__10,reads.in,11719
2DSS__11,reads.in,2129
2DSS__12,reads.in,98
2DSS__13,reads.in,1864
2DSS__14,reads.in,4371
2DSS__16,reads.in,10808
2DSS__18,reads.in,8029
2DSS__19,reads.in,4791
2DSS__2,reads.in,8128
2DSS__21,reads.in,6261
2DSS__23,reads.in,9774
2DSS__24,reads.in,8694
2DSS__25,reads.in,89
2DSS__27,reads.in,4878
2DSS__28,reads.in,76
2DSS__3,reads.in,2963
2DSS__30,reads.in,54
2DSS__5,reads.in,1680
2DSS__6,reads.in,2265
2DSS__7,reads.in,7647
2DSS__8,reads.in,5793
2DSS__9,reads.in,4140
3DSS__11,reads.in,41
3DSS__16,reads.in,74
3DSS__2,reads.in,55
3DSS__21,reads.in,58
3DSS__22,reads.in,43
3DSS__23,reads.in,81
3DSS__24,reads.in,119
3DSS__26,reads.in,41
3DSS__27,reads.in,6385
3DSS__29,reads.in,74
3DSS__30,reads.in,5588
3DSS__7,reads.in,144
4DSS__1,reads.in,59
4DSS__16,reads.in,4114
4DSS__23,reads.in,2777
4DSS__24,reads.in,3104
4DSS__6,reads.in,5443
2DSS__1,reads.out,46463
2DSS__10,reads.out,75970
2DSS__11,reads.out,34523
2DSS__12,reads.out,18249
2DSS__13,reads.out,22090
2DSS__14,reads.out,42853
2DSS__16,reads.out,64723
2DSS__18,reads.out,60559
2DSS__19,reads.out,42243
2DSS__2,reads.out,55697
2DSS__21,reads.out,55282
2DSS__23,reads.out,63800
2DSS__24,reads.out,73257
2DSS__25,reads.out,24046
2DSS__27,reads.out,51323
2DSS__28,reads.out,27566
2DSS__3,reads.out,35946
2DSS__30,reads.out,25236
2DSS__5,reads.out,24013
2DSS__6,reads.out,36115
2DSS__7,reads.out,48997
2DSS__8,reads.out,67792
2DSS__9,reads.out,47421
3DSS__11,reads.out,22838
3DSS__16,reads.out,21909
3DSS__2,reads.out,23728
3DSS__21,reads.out,24070
3DSS__22,reads.out,17398
3DSS__23,reads.out,23407
3DSS__24,reads.out,23826
3DSS__26,reads.out,19061
3DSS__27,reads.out,58981
3DSS__29,reads.out,25153
3DSS__30,reads.out,81064
3DSS__7,reads.out,22765
4DSS__1,reads.out,27478
4DSS__16,reads.out,57142
4DSS__23,reads.out,36025
4DSS__24,reads.out,49475
4DSS__6,reads.out,37448
